Id,ActivityHour,mean_METs,total_METs,TotalIntensity,AverageIntensity,Calories,StepTotal,day_of_week,n_day_of_week,hour_of_day,date,Is_weekend,Cluster
Persona_9,2016-04-25 18:00:00,37.25,2235.0,67.0,1.116667,210.0,2882.0,Monday,0,18,2016-04-25,False,Cluster1
Persona_26,2016-04-23 01:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Saturday,5,1,2016-04-23,True,Cluster1
Persona_9,2016-04-15 13:00:00,16.55,993.0,15.0,0.25,93.0,359.0,Friday,4,13,2016-04-15,False,Cluster1
Persona_27,2016-05-04 05:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Wednesday,2,5,2016-05-04,False,Cluster1
Persona_29,2016-04-13 23:00:00,12.633333333333333,758.0,9.0,0.15,75.0,163.0,Wednesday,2,23,2016-04-13,False,Cluster1
Persona_29,2016-04-23 02:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,2,2016-04-23,True,Cluster1
Persona_27,2016-04-29 00:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,0,2016-04-29,False,Cluster1
Persona_26,2016-04-13 23:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,23,2016-04-13,False,Cluster1
Persona_29,2016-04-16 19:00:00,10.533333333333331,632.0,2.0,0.033333,63.0,0.0,Saturday,5,19,2016-04-16,True,Cluster1
Persona_26,2016-04-29 00:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,0,2016-04-29,False,Cluster1
Persona_27,2016-05-04 04:00:00,10.05,603.0,0.0,0.0,68.0,0.0,Wednesday,2,4,2016-05-04,False,Cluster1
Persona_26,2016-04-23 02:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Saturday,5,2,2016-04-23,True,Cluster1
Persona_26,2016-05-04 04:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,4,2016-05-04,False,Cluster1
Persona_27,2016-05-04 06:00:00,10.583333333333334,635.0,2.0,0.033333,72.0,20.0,Wednesday,2,6,2016-05-04,False,Cluster1
Persona_27,2016-05-04 01:00:00,10.016666666666667,601.0,0.0,0.0,68.0,0.0,Wednesday,2,1,2016-05-04,False,Cluster1
Persona_27,2016-04-14 00:00:00,10.083333333333334,605.0,0.0,0.0,68.0,0.0,Thursday,3,0,2016-04-14,False,Cluster1
Persona_9,2016-04-29 01:00:00,10.35,621.0,1.0,0.016667,58.0,8.0,Friday,4,1,2016-04-29,False,Cluster1
Persona_27,2016-05-03 23:00:00,16.083333333333332,965.0,13.0,0.216667,109.0,328.0,Tuesday,1,23,2016-05-03,False,Cluster1
Persona_27,2016-04-14 01:00:00,10.283333333333331,617.0,1.0,0.016667,70.0,14.0,Thursday,3,1,2016-04-14,False,Cluster1
Persona_26,2016-05-03 23:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Tuesday,1,23,2016-05-03,False,Cluster1
Persona_29,2016-04-17 19:00:00,12.366666666666667,742.0,7.0,0.116667,74.0,173.0,Sunday,6,19,2016-04-17,True,Cluster1
Persona_26,2016-04-14 01:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,1,2016-04-14,False,Cluster1
Persona_26,2016-04-15 12:00:00,17.483333333333334,1049.0,18.0,0.3,113.0,319.0,Friday,4,12,2016-04-15,False,Cluster1
Persona_29,2016-04-15 12:00:00,12.633333333333333,758.0,7.0,0.116667,75.0,174.0,Friday,4,12,2016-04-15,False,Cluster1
Persona_9,2016-04-14 01:00:00,10.2,612.0,0.0,0.0,58.0,0.0,Thursday,3,1,2016-04-14,False,Cluster1
Persona_27,2016-04-25 17:00:00,55.88333333333333,3353.0,136.0,2.266667,379.0,1303.0,Monday,0,17,2016-04-25,False,Cluster1
Persona_26,2016-05-03 22:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Tuesday,1,22,2016-05-03,False,Cluster1
Persona_29,2016-04-23 05:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,5,2016-04-23,True,Cluster1
Persona_29,2016-04-29 02:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,2,2016-04-29,False,Cluster1
Persona_27,2016-05-03 22:00:00,12.033333333333331,722.0,4.0,0.066667,82.0,135.0,Tuesday,1,22,2016-05-03,False,Cluster1
Persona_26,2016-04-17 19:00:00,16.5,990.0,17.0,0.283333,107.0,336.0,Sunday,6,19,2016-04-17,True,Cluster1
Persona_9,2016-04-15 12:00:00,15.1,906.0,14.0,0.233333,85.0,259.0,Friday,4,12,2016-04-15,False,Cluster1
Persona_29,2016-04-23 04:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,4,2016-04-23,True,Cluster1
Persona_27,2016-05-04 00:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Wednesday,2,0,2016-05-04,False,Cluster1
Persona_26,2016-04-23 03:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Saturday,5,3,2016-04-23,True,Cluster1
Persona_26,2016-04-14 00:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,0,2016-04-14,False,Cluster1
Persona_26,2016-05-04 01:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,1,2016-05-04,False,Cluster1
Persona_29,2016-04-25 17:00:00,10.533333333333331,632.0,2.0,0.033333,63.0,26.0,Monday,0,17,2016-04-25,False,Cluster1
Persona_26,2016-04-29 01:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,1,2016-04-29,False,Cluster1
Persona_9,2016-04-23 03:00:00,10.216666666666669,613.0,1.0,0.016667,58.0,4.0,Saturday,5,3,2016-04-23,True,Cluster1
Persona_9,2016-04-17 19:00:00,16.466666666666665,988.0,17.0,0.283333,93.0,334.0,Sunday,6,19,2016-04-17,True,Cluster1
Persona_27,2016-04-29 01:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,1,2016-04-29,False,Cluster1
Persona_27,2016-04-23 04:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,4,2016-04-23,True,Cluster1
Persona_26,2016-05-04 00:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,0,2016-05-04,False,Cluster1
Persona_26,2016-04-17 20:00:00,11.45,687.0,4.0,0.066667,74.0,79.0,Sunday,6,20,2016-04-17,True,Cluster1
Persona_26,2016-04-23 04:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Saturday,5,4,2016-04-23,True,Cluster1
Persona_9,2016-04-23 04:00:00,10.0,600.0,0.0,0.0,56.0,0.0,Saturday,5,4,2016-04-23,True,Cluster1
Persona_29,2016-04-29 01:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,1,2016-04-29,False,Cluster1
Persona_29,2016-04-14 00:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Thursday,3,0,2016-04-14,False,Cluster1
Persona_9,2016-04-17 21:00:00,14.366666666666667,862.0,15.0,0.25,81.0,182.0,Sunday,6,21,2016-04-17,True,Cluster1
Persona_9,2016-04-29 00:00:00,10.05,603.0,0.0,0.0,57.0,0.0,Friday,4,0,2016-04-29,False,Cluster1
Persona_29,2016-04-23 01:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,1,2016-04-23,True,Cluster1
Persona_29,2016-04-22 22:00:00,12.633333333333333,758.0,9.0,0.15,75.0,186.0,Friday,4,22,2016-04-22,False,Cluster1
Persona_27,2016-04-28 22:00:00,15.6,936.0,10.0,0.166667,106.0,63.0,Thursday,3,22,2016-04-28,False,Cluster1
Persona_9,2016-04-13 21:00:00,30.9,1854.0,59.0,0.983333,174.0,2197.0,Wednesday,2,21,2016-04-13,False,Cluster1
Persona_27,2016-04-22 22:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,22,2016-04-22,False,Cluster1
Persona_26,2016-04-28 22:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,22,2016-04-28,False,Cluster1
Persona_27,2016-05-04 12:00:00,14.533333333333331,872.0,11.0,0.183333,99.0,317.0,Wednesday,2,12,2016-05-04,False,Cluster1
Persona_29,2016-04-13 21:00:00,12.466666666666669,748.0,6.0,0.1,74.0,204.0,Wednesday,2,21,2016-04-13,False,Cluster1
Persona_26,2016-04-22 22:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,22,2016-04-22,False,Cluster1
Persona_29,2016-04-28 22:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Thursday,3,22,2016-04-28,False,Cluster1
Persona_26,2016-05-04 11:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,11,2016-05-04,False,Cluster1
Persona_9,2016-04-22 22:00:00,10.166666666666666,610.0,0.0,0.0,57.0,0.0,Friday,4,22,2016-04-22,False,Cluster1
Persona_27,2016-04-13 21:00:00,10.583333333333334,635.0,1.0,0.016667,72.0,4.0,Wednesday,2,21,2016-04-13,False,Cluster1
Persona_27,2016-05-04 11:00:00,10.916666666666666,655.0,2.0,0.033333,74.0,34.0,Wednesday,2,11,2016-05-04,False,Cluster1
Persona_26,2016-04-15 13:00:00,12.566666666666666,754.0,4.0,0.066667,82.0,43.0,Friday,4,13,2016-04-15,False,Cluster1
Persona_26,2016-05-04 12:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,12,2016-05-04,False,Cluster1
Persona_27,2016-04-17 22:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Sunday,6,22,2016-04-17,True,Cluster1
Persona_27,2016-04-25 19:00:00,15.883333333333333,953.0,11.0,0.183333,108.0,217.0,Monday,0,19,2016-04-25,False,Cluster1
Persona_9,2016-04-28 22:00:00,15.916666666666666,955.0,14.0,0.233333,90.0,380.0,Thursday,3,22,2016-04-28,False,Cluster1
Persona_26,2016-04-13 20:00:00,11.216666666666669,673.0,3.0,0.05,73.0,57.0,Wednesday,2,20,2016-04-13,False,Cluster1
Persona_27,2016-04-28 21:00:00,15.533333333333331,932.0,12.0,0.2,105.0,269.0,Thursday,3,21,2016-04-28,False,Cluster1
Persona_26,2016-04-16 19:00:00,16.666666666666668,1000.0,18.0,0.3,108.0,325.0,Saturday,5,19,2016-04-16,True,Cluster1
Persona_26,2016-05-04 14:00:00,10.016666666666667,601.0,0.0,0.0,65.0,0.0,Wednesday,2,14,2016-05-04,False,Cluster1
Persona_29,2016-04-22 21:00:00,12.333333333333334,740.0,8.0,0.133333,73.0,123.0,Friday,4,21,2016-04-22,False,Cluster1
Persona_9,2016-04-17 22:00:00,10.066666666666666,604.0,0.0,0.0,57.0,0.0,Sunday,6,22,2016-04-17,True,Cluster1
Persona_27,2016-05-04 13:00:00,23.416666666666668,1405.0,19.0,0.316667,159.0,1398.0,Wednesday,2,13,2016-05-04,False,Cluster1
Persona_27,2016-05-04 14:00:00,10.75,645.0,2.0,0.033333,73.0,39.0,Wednesday,2,14,2016-05-04,False,Cluster1
Persona_9,2016-04-25 19:00:00,35.86666666666667,2152.0,65.0,1.083333,202.0,1953.0,Monday,0,19,2016-04-25,False,Cluster1
Persona_9,2016-04-22 21:00:00,10.366666666666667,622.0,0.0,0.0,59.0,0.0,Friday,4,21,2016-04-22,False,Cluster1
Persona_26,2016-05-04 13:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,13,2016-05-04,False,Cluster1
Persona_26,2016-04-22 21:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,21,2016-04-22,False,Cluster1
Persona_26,2016-04-17 22:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Sunday,6,22,2016-04-17,True,Cluster1
Persona_29,2016-04-17 22:00:00,11.6,696.0,5.0,0.083333,69.0,96.0,Sunday,6,22,2016-04-17,True,Cluster1
Persona_26,2016-04-28 21:00:00,10.916666666666666,655.0,2.0,0.033333,71.0,58.0,Thursday,3,21,2016-04-28,False,Cluster1
Persona_29,2016-04-22 23:00:00,12.3,738.0,8.0,0.133333,73.0,163.0,Friday,4,23,2016-04-22,False,Cluster1
Persona_26,2016-04-13 21:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,21,2016-04-13,False,Cluster1
Persona_9,2016-04-16 19:00:00,22.45,1347.0,35.0,0.583333,127.0,943.0,Saturday,5,19,2016-04-16,True,Cluster1
Persona_29,2016-04-23 00:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Saturday,5,0,2016-04-23,True,Cluster1
Persona_26,2016-05-04 08:00:00,10.033333333333331,602.0,0.0,0.0,65.0,0.0,Wednesday,2,8,2016-05-04,False,Cluster1
Persona_9,2016-04-28 23:00:00,10.016666666666667,601.0,0.0,0.0,57.0,0.0,Thursday,3,23,2016-04-28,False,Cluster1
Persona_9,2016-04-13 22:00:00,11.566666666666666,694.0,4.0,0.066667,65.0,116.0,Wednesday,2,22,2016-04-13,False,Cluster1
Persona_27,2016-05-04 07:00:00,16.0,960.0,12.0,0.2,109.0,309.0,Wednesday,2,7,2016-05-04,False,Cluster1
Persona_26,2016-05-04 07:00:00,10.016666666666667,601.0,0.0,0.0,65.0,0.0,Wednesday,2,7,2016-05-04,False,Cluster1
Persona_27,2016-05-04 08:00:00,11.833333333333334,710.0,3.0,0.05,80.0,141.0,Wednesday,2,8,2016-05-04,False,Cluster1
Persona_27,2016-04-23 00:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,0,2016-04-23,True,Cluster1
Persona_29,2016-04-13 22:00:00,12.933333333333334,776.0,10.0,0.166667,77.0,98.0,Wednesday,2,22,2016-04-13,False,Cluster1
Persona_9,2016-04-23 01:00:00,10.033333333333331,602.0,0.0,0.0,57.0,0.0,Saturday,5,1,2016-04-23,True,Cluster1
Persona_27,2016-04-17 21:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Sunday,6,21,2016-04-17,True,Cluster1
Persona_29,2016-04-15 13:00:00,16.466666666666665,988.0,19.0,0.316667,98.0,631.0,Friday,4,13,2016-04-15,False,Cluster1
Persona_27,2016-04-15 13:00:00,45.56666666666667,2734.0,90.0,1.5,309.0,3448.0,Friday,4,13,2016-04-15,False,Cluster1
Persona_26,2016-05-04 06:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,6,2016-05-04,False,Cluster1
Persona_29,2016-04-25 18:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Monday,0,18,2016-04-25,False,Cluster1
Persona_29,2016-04-28 23:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Thursday,3,23,2016-04-28,False,Cluster1
Persona_9,2016-04-23 00:00:00,10.083333333333334,605.0,0.0,0.0,57.0,0.0,Saturday,5,0,2016-04-23,True,Cluster1
Persona_26,2016-04-28 23:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,23,2016-04-28,False,Cluster1
Persona_27,2016-05-04 10:00:00,12.316666666666666,739.0,6.0,0.1,84.0,165.0,Wednesday,2,10,2016-05-04,False,Cluster1
Persona_9,2016-04-22 23:00:00,10.716666666666669,643.0,2.0,0.033333,60.0,22.0,Friday,4,23,2016-04-22,False,Cluster1
Persona_26,2016-04-22 23:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,23,2016-04-22,False,Cluster1
Persona_26,2016-04-13 22:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,22,2016-04-13,False,Cluster1
Persona_26,2016-05-04 10:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,10,2016-05-04,False,Cluster1
Persona_29,2016-04-25 19:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Monday,0,19,2016-04-25,False,Cluster1
Persona_27,2016-05-04 09:00:00,10.933333333333334,656.0,1.0,0.016667,74.0,48.0,Wednesday,2,9,2016-05-04,False,Cluster1
Persona_29,2016-04-17 21:00:00,12.233333333333333,734.0,8.0,0.133333,73.0,55.0,Sunday,6,21,2016-04-17,True,Cluster1
Persona_26,2016-04-17 21:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Sunday,6,21,2016-04-17,True,Cluster1
Persona_27,2016-04-28 23:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Thursday,3,23,2016-04-28,False,Cluster1
Persona_27,2016-04-13 22:00:00,12.666666666666666,760.0,7.0,0.116667,86.0,140.0,Wednesday,2,22,2016-04-13,False,Cluster1
Persona_26,2016-05-04 09:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Wednesday,2,9,2016-05-04,False,Cluster1
Persona_27,2016-04-22 23:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,23,2016-04-22,False,Cluster1
Persona_26,2016-04-25 19:00:00,12.083333333333334,725.0,4.0,0.066667,78.0,73.0,Monday,0,19,2016-04-25,False,Cluster1
Persona_26,2016-04-23 00:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Saturday,5,0,2016-04-23,True,Cluster1
Persona_26,2016-05-03 21:00:00,13.066666666666666,784.0,8.0,0.133333,85.0,94.0,Tuesday,1,21,2016-05-03,False,Cluster1
Persona_27,2016-04-16 19:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,19,2016-04-16,True,Cluster1
Persona_27,2016-04-23 05:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,5,2016-04-23,True,Cluster1
Persona_27,2016-04-29 02:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,2,2016-04-29,False,Cluster1
Persona_26,2016-05-03 10:00:00,15.033333333333331,902.0,12.0,0.2,98.0,299.0,Tuesday,1,10,2016-05-03,False,Cluster1
Persona_29,2016-04-17 17:00:00,24.866666666666667,1492.0,36.0,0.6,148.0,1005.0,Sunday,6,17,2016-04-17,True,Cluster1
Persona_26,2016-04-17 17:00:00,18.2,1092.0,19.0,0.316667,118.0,476.0,Sunday,6,17,2016-04-17,True,Cluster1
Persona_29,2016-04-29 05:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,5,2016-04-29,False,Cluster1
Persona_29,2016-04-14 04:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Thursday,3,4,2016-04-14,False,Cluster1
Persona_27,2016-05-03 09:00:00,12.566666666666666,754.0,6.0,0.1,85.0,213.0,Tuesday,1,9,2016-05-03,False,Cluster1
Persona_26,2016-04-29 05:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Friday,4,5,2016-04-29,False,Cluster1
Persona_27,2016-04-14 04:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Thursday,3,4,2016-04-14,False,Cluster1
Persona_29,2016-04-23 11:00:00,51.95,3117.0,118.0,1.966667,309.0,3274.0,Saturday,5,11,2016-04-23,True,Cluster1
Persona_26,2016-04-23 11:00:00,38.16666666666666,2290.0,72.0,1.2,248.0,2567.0,Saturday,5,11,2016-04-23,True,Cluster1
Persona_27,2016-04-25 15:00:00,10.883333333333333,653.0,3.0,0.05,74.0,29.0,Monday,0,15,2016-04-25,False,Cluster1
Persona_27,2016-04-23 11:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,11,2016-04-23,True,Cluster1
Persona_26,2016-05-03 08:00:00,44.16666666666666,2650.0,99.0,1.65,287.0,2965.0,Tuesday,1,8,2016-05-03,False,Cluster1
Persona_9,2016-04-14 05:00:00,10.083333333333334,605.0,0.0,0.0,57.0,0.0,Thursday,3,5,2016-04-14,False,Cluster1
Persona_26,2016-05-03 09:00:00,24.166666666666668,1450.0,31.0,0.516667,157.0,650.0,Tuesday,1,9,2016-05-03,False,Cluster1
Persona_27,2016-05-03 08:00:00,10.816666666666666,649.0,0.0,0.0,73.0,0.0,Tuesday,1,8,2016-05-03,False,Cluster1
Persona_9,2016-04-14 04:00:00,10.05,603.0,0.0,0.0,57.0,0.0,Thursday,3,4,2016-04-14,False,Cluster1
Persona_9,2016-04-29 05:00:00,10.066666666666666,604.0,0.0,0.0,57.0,0.0,Friday,4,5,2016-04-29,False,Cluster1
Persona_29,2016-04-23 09:00:00,16.166666666666668,970.0,10.0,0.166667,96.0,584.0,Saturday,5,9,2016-04-23,True,Cluster1
Persona_27,2016-05-03 11:00:00,11.683333333333334,701.0,4.0,0.066667,79.0,139.0,Tuesday,1,11,2016-05-03,False,Cluster1
Persona_26,2016-04-25 16:00:00,11.383333333333333,683.0,5.0,0.083333,74.0,58.0,Monday,0,16,2016-04-25,False,Cluster1
Persona_26,2016-04-23 10:00:00,15.283333333333331,917.0,15.0,0.25,99.0,281.0,Saturday,5,10,2016-04-23,True,Cluster1
Persona_26,2016-05-03 11:00:00,24.416666666666668,1465.0,34.0,0.566667,158.0,802.0,Tuesday,1,11,2016-05-03,False,Cluster1
Persona_29,2016-04-15 11:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,11,2016-04-15,False,Cluster1
Persona_9,2016-04-23 11:00:00,38.68333333333333,2321.0,53.0,0.883333,218.0,2143.0,Saturday,5,11,2016-04-23,True,Cluster1
Persona_27,2016-04-23 10:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Saturday,5,10,2016-04-23,True,Cluster1
Persona_27,2016-04-29 05:00:00,10.0,600.0,0.0,0.0,68.0,0.0,Friday,4,5,2016-04-29,False,Cluster1
Persona_9,2016-04-23 10:00:00,21.15,1269.0,27.0,0.45,119.0,825.0,Saturday,5,10,2016-04-23,True,Cluster1
Persona_26,2016-04-14 04:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,4,2016-04-14,False,Cluster1
Persona_27,2016-05-03 10:00:00,12.333333333333334,740.0,6.0,0.1,84.0,160.0,Tuesday,1,10,2016-05-03,False,Cluster1
Persona_29,2016-04-25 16:00:00,30.933333333333334,1856.0,64.0,1.066667,184.0,2167.0,Monday,0,16,2016-04-25,False,Cluster1
Persona_29,2016-04-23 10:00:00,12.1,726.0,7.0,0.116667,72.0,162.0,Saturday,5,10,2016-04-23,True,Cluster1
Persona_29,2016-04-29 04:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,4,2016-04-29,False,Cluster1
Persona_26,2016-04-25 15:00:00,16.016666666666666,961.0,15.0,0.25,104.0,301.0,Monday,0,15,2016-04-25,False,Cluster1
Persona_27,2016-05-03 07:00:00,15.866666666666667,952.0,11.0,0.183333,108.0,229.0,Tuesday,1,7,2016-05-03,False,Cluster1
Persona_26,2016-05-03 07:00:00,47.11666666666667,2827.0,116.0,1.933333,306.0,3671.0,Tuesday,1,7,2016-05-03,False,Cluster1
Persona_26,2016-05-03 05:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Tuesday,1,5,2016-05-03,False,Cluster1
Persona_29,2016-04-23 13:00:00,13.766666666666667,826.0,11.0,0.183333,82.0,293.0,Saturday,5,13,2016-04-23,True,Cluster1
Persona_29,2016-04-25 14:00:00,20.566666666666663,1234.0,34.0,0.566667,122.0,643.0,Monday,0,14,2016-04-25,False,Cluster1
Persona_27,2016-05-03 04:00:00,10.016666666666667,601.0,0.0,0.0,68.0,0.0,Tuesday,1,4,2016-05-03,False,Cluster1
Persona_26,2016-05-03 04:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Tuesday,1,4,2016-05-03,False,Cluster1
Persona_29,2016-04-17 16:00:00,15.4,924.0,17.0,0.283333,92.0,390.0,Sunday,6,16,2016-04-17,True,Cluster1
Persona_26,2016-04-29 06:00:00,18.716666666666665,1123.0,23.0,0.383333,121.0,637.0,Friday,4,6,2016-04-29,False,Cluster1
Persona_26,2016-04-23 13:00:00,30.53333333333333,1832.0,44.0,0.733333,198.0,1548.0,Saturday,5,13,2016-04-23,True,Cluster1
Persona_27,2016-04-23 13:00:00,13.716666666666669,823.0,11.0,0.183333,93.0,198.0,Saturday,5,13,2016-04-23,True,Cluster1
Persona_26,2016-04-25 14:00:00,16.216666666666665,973.0,16.0,0.266667,105.0,319.0,Monday,0,14,2016-04-25,False,Cluster1
Persona_26,2016-05-03 03:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Tuesday,1,3,2016-05-03,False,Cluster1
Persona_29,2016-04-23 14:00:00,15.566666666666666,934.0,15.0,0.25,93.0,479.0,Saturday,5,14,2016-04-23,True,Cluster1
Persona_26,2016-04-29 07:00:00,41.55,2493.0,98.0,1.633333,270.0,3274.0,Friday,4,7,2016-04-29,False,Cluster1
Persona_9,2016-04-17 16:00:00,13.2,792.0,8.0,0.133333,74.0,57.0,Sunday,6,16,2016-04-17,True,Cluster1
Persona_9,2016-04-23 13:00:00,37.46666666666667,2248.0,72.0,1.2,211.0,1908.0,Saturday,5,13,2016-04-23,True,Cluster1
Persona_29,2016-04-15 10:00:00,10.0,600.0,0.0,0.0,59.0,0.0,Friday,4,10,2016-04-15,False,Cluster1
Persona_26,2016-04-14 05:00:00,10.0,600.0,0.0,0.0,65.0,0.0,Thursday,3,5,2016-04-14,False,Cluster1
